Image,Offers,Link,Date
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/superbottoms-logo.png,20% Off on minimum purchase of ₹1199,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=177,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/juicy-chemistry-logo.png,Extra 25% off * Valid on top of slashed prices exclusively,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=176,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/oziva-logo.png,Flat 20% off on orders above ₹999,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=175,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/einstein-box-logo.png,₹400 discounts on purchase of items from 1 Yr to 12 Yrs,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=174,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/ixigo-logo.png,"8% off on Flight Bookings, Maximum off Upto ₹1000",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=173,7th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/giva-logo.png,₹300 off on Silver Jewellery on Minimum Purchase Value of ₹999,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=172,6th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/clovia-logo.png,₹200 off on Minimum Purchase value of ₹999,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=171,6th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/bombay-shaving-company-logo.png,Buy 3 Perfume at ₹599,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=170,6th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/lunchbox-logo.png,Get 30% off upto ₹100 on Minimum Purchase Value of ₹199 & above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=169,6th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/the-good-bowl-logo.png,Get 40% off upto ₹110 on Minimum Purchase Value of ₹199 & above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=168,6th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/ovenstory-pizza-logo.png,Get 50% off upto ₹125 on Minimum Purchase Value of ₹249 & above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=167,6th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/faasos-logo.png,Get 40% off upto ₹125 on Minimum Purchase Value of ₹199 & above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=166,6th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/eatsure-logo.png,Get 40% off upto ₹110 on Minimum Purchase Value of ₹249 + Free Dellivery,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=165,6th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/myntra-logo.png,Extra ₹250 off on Minimum Purchase Value of ₹1499 on select styles,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=164,5th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/bagline-logo.png,Additional 10% off on website on Minimum Purchase Value of ₹1500,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=163,5th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/zouk-logo.png,"₹500 off on zouk bags, wallets and footwear range",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=162,5th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/lavie-logo.png,"Get 20% off on ""Lavie"" Selective Products",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=161,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/hindustan-times-logo.png,30% discount on HT Premium digital subscription plan,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=160,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/live-mint-the-wall-street-journal-logo.png,30% discount on Mint and Mint + Wall Street Journal digital subscription plan,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=159,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/motorhunk-logo.png,Get 20% off upto ₹300,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=158,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/musafir-logo.png,"Up to ₹5,000 off on International Flight Booking",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=157,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/musafir-logo.png,"Up to ₹3,000 off on on Domestic Flight Booking",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=156,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/upgrad-logo.png,₹5000 off,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=155,2nd August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/sia-jewellery-logo.png,15% off on Minimum Puchase Value of ₹3000,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=154,2nd August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/nutrabay-logo.png,10% off up to ₹300 on First Purchase on Sitewide,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=153,2nd August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Foxtale-logo.png,₹400 off on Minimum Purchase Value of ₹999,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=152,31st July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Lancome-logo.png,15% off on First Time Purchase,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=151,31st July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Organic-Harvest-logo.png,Buy 1 Get 1 Free on Products of Organic Harvest,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=150,31st July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Kashmir-Villa-logo.png,20% off on clothing and accessories,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=149,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Wendys-logo.png,Flat ₹100 off on orders above ₹249,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=148,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Cocoon-Care-logo.png,Flat ₹500 off on minimum purchase of ₹3000,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=147,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Chaayos-logo.png,15% off on all orders placed on www.Chaayos.com,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=146,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Citrus-Hotels-logo.png,15% off on Food & Soft Beverages,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=145,30th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Apollo-Hospital-logo.png,25% off on Apollo ProHealth Health Checks,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=144,30th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Sri-Jagdamba-Pearls-logo.png,"25% off on Pearl, Gemstone & Fashion Jewellery",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=143,30th July 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Chowman-logo.png,20% off up to ₹200+Free Home Delivery,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=142,30th July 2024 to 31st July 2025
